timestamp,date,time,state_QQQ,action_QQQ,totalQuantity_QQQ,avgPrice_QQQ,commission_QQQ,reg_exec_QQQ ,mktPrice_QQQ ,AvailableFunds,ExcessLiquidity,BuyingPower,Leverage,EquityWithLoanValue,TotalCashValue,NetDividend,NetLiquidation,UnrealizedPnL,RealizedPnL,GrossPositionValue,position_QQQ,marketPrice_QQQ,averageCost_QQQ,marketValue_QQQ,realizedPNL_QQQ,unrealizedPNL_QQQ,initMarginReq_QQQ,maintMarginReq_QQQ,costBasis_QQQ
1442361600,2015-09-16,00:00:00,,,,,,False,100.72040782925124,460969.80296882073,467625.2903848365,3073132.019792138,0.9998634647507781,534515.7353390788,72.9802391375415,0,534515.7353390788,-24841.90170810488,-44041.37741865596,534442.7550999413,5357,99.76530802686976,104.40258667314652,534442.7550999413,-44041.37741865596,-24841.90170810488,73545.93237025807,66890.44495424232,559284.6568080462
1442448000,2015-09-17,00:00:00,,,,,,False,101.1648534056595,466086.2726101784,472741.76002619416,3107241.8174011894,0.9998647592963059,539632.2049804365,72.9802391375415,0,539632.2049804365,-19725.43206674722,-44041.37741865596,539559.2247412989,5357,100.72040782925124,104.40258667314652,539559.2247412989,-44041.37741865596,-19725.43206674722,73545.93237025807,66890.44495424232,559284.6568080462
1442534400,2015-09-18,00:00:00,,,,,,False,99.75206565414244,468467.1675629974,475122.65497901314,3123114.4504199824,0.9998653533666502,542013.0999332555,72.9802391375415,0,542013.0999332555,-17344.537113928236,-44041.37741865596,541940.1196941179,5357,101.1648534056595,104.40258667314652,541940.1196941179,-44041.37741865596,-17344.537113928236,73545.93237025807,66890.44495424232,559284.6568080462
1442793600,2015-09-21,00:00:00,,,,,,False,100.41562808384924,460898.86357812054,467554.3509941363,3072659.0905208034,0.9998634466278074,534444.7959483786,72.9802391375415,0,534444.7959483786,-24912.841098805075,-44041.37741865596,534371.8157092411,5357,99.75206565414244,104.40258667314652,534371.8157092411,-44041.37741865596,-24912.841098805075,73545.93237025807,66890.44495424232,559284.6568080462
1442880000,2015-09-22,00:00:00,,,,,,False,98.64298959859998,464453.5675140599,471109.05493007565,3096357.116760399,0.9998643488717867,537999.499884318,72.9802391375415,0,537999.499884318,-21358.13716286572,-44041.37741865596,537926.5196451804,5357,100.41562808384924,104.40258667314652,537926.5196451804,-44041.37741865596,-21358.13716286572,73545.93237025807,66890.44495424232,559284.6568080462
1442966400,2015-09-23,00:00:00,,,,,,False,98.94632252914316,454957.5431485796,461613.03056459536,3033050.2876571976,0.9998619115246765,528503.4755188377,72.9802391375415,0,528503.4755188377,-30854.161528346012,-44041.37741865596,528430.4952797001,5357,98.64298959859998,104.40258667314652,528430.4952797001,-44041.37741865596,-30854.161528346012,73545.93237025807,66890.44495424232,559284.6568080462
1443052800,2015-09-24,00:00:00,,,,,,False,97.79931358345556,456582.49765749933,463237.9850735151,3043883.3177166623,0.9998623347947332,530128.4300277574,72.9802391375415,0,530128.4300277574,-29229.207019426278,-44041.37741865596,530055.4497886199,5357,98.94632252914316,104.40258667314652,530055.4497886199,-44041.37741865596,-29229.207019426278,73545.93237025807,66890.44495424232,559284.6568080462
1443139200,2015-09-25,00:00:00,,,,,,False,99.4487291564828,450437.97073545086,457093.4581514666,3002919.8049030057,0.9998607204559052,523983.90310570895,72.9802391375415,0,523983.90310570895,-35373.733941474755,-44041.37741865596,523910.9228665714,5357,97.79931358345556,104.40258667314652,523910.9228665714,-44041.37741865596,-35373.733941474755,73545.93237025807,66890.44495424232,559284.6568080462
1443398400,2015-09-28,00:00:00,,,,,,False,97.14522734210028,459273.88996015786,465929.3773761736,3061825.933067719,0.9998630301725293,532819.822330416,72.9802391375415,0,532819.822330416,-26537.814716767753,-44041.37741865596,532746.8420912784,5357,99.4487291564828,104.40258667314652,532746.8420912784,-44041.37741865596,-26537.814716767753,73545.93237025807,66890.44495424232,559284.6568080462
1443484800,2015-09-29,00:00:00,,,,,,False,95.0218366996853,446934.0307405107,453589.51815652644,2979560.2049367377,0.9998597828075814,520479.96311076876,72.9802391375415,0,520479.96311076876,-38877.67393641494,-44041.37741865596,520406.9828716312,5357,97.14522734210028,104.40258667314652,520406.9828716312,-44041.37741865596,-38877.67393641494,73545.93237025807,66890.44495424232,559284.6568080462
